Adult Mortality,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Thinness age 10-19,Thinness age 5-9,Income composition of resources,Schooling,Life expectancy
23.0,61.1,98.0,98.0,0.1,7978.825443,2.0,2.0,0.796,15.7,71.7
194.0,6.5,98.0,98.0,0.1,694.243915,2.0,2.1,0.793,15.6,71.9
232.0,59.9,98.0,98.0,0.1,6519.71753,2.0,2.1,0.787,15.5,72.0
222.0,59.3,99.0,98.0,0.1,63.38877,2.0,2.2,0.78,15.5,73.0
226.0,58.7,98.0,96.0,0.1,5176.172649,2.1,2.2,0.771,15.4,70.0
224.0,58.2,98.0,97.0,0.1,6376.183153,2.1,2.3,0.755,15.1,70.0
226.0,57.7,9.0,95.0,0.1,4735.484827,2.2,2.3,0.739,14.9,69.8
243.0,57.2,97.0,99.0,0.1,3848.215966,2.2,2.4,0.723,14.6,68.9
252.0,56.7,98.0,99.0,0.1,3126.71767,2.3,2.5,0.713,14.4,68.1
247.0,56.2,99.0,99.0,0.1,2378.33927,2.4,2.5,0.703,14.1,68.2
253.0,55.8,53.0,5.0,0.1,1819.525644,2.5,2.6,0.695,13.9,67.7
262.0,55.3,99.0,99.0,0.1,1479.383142,2.5,2.7,0.687,13.6,67.2
254.0,54.9,99.0,99.0,0.1,1244.373185,2.6,2.7,0.681,13.3,67.7
247.0,54.4,99.0,99.0,0.1,1276.28834,2.7,2.8,0.675,13.1,68.0
77.0,63.0,99.0,99.0,0.1,4651.38647,1.0,0.9,0.889,16.3,87.0
78.0,62.6,99.0,99.0,0.1,4474.5717,0.9,0.9,0.886,16.2,83.0
8.0,62.3,98.0,98.0,0.1,4772.77415,0.9,0.9,0.884,16.1,83.0
81.0,61.9,98.0,98.0,0.1,4438.23741,0.9,0.9,0.878,15.9,80.0
85.0,61.6,98.0,98.0,0.1,4488.5615,0.9,0.9,0.876,15.8,79.8
87.0,61.3,99.0,99.0,0.1,48424.58927,0.8,0.8,0.874,15.8,79.5
86.0,6.9,99.0,98.0,0.1,4443.83131,0.8,0.8,0.871,15.8,79.5
85.0,6.6,99.0,98.0,0.1,38852.3613,0.8,0.8,0.865,15.7,79.4
89.0,6.2,97.0,97.0,0.1,36967.28292,0.8,0.8,0.861,15.7,78.9
91.0,59.8,96.0,95.0,0.1,35589.71295,0.8,0.8,0.88,18.8,78.8
95.0,59.4,96.0,95.0,0.1,3743.95693,0.8,0.8,0.878,18.6,78.3
99.0,59.0,96.0,95.0,0.1,2552.3328,0.8,0.8,0.875,18.8,78.0
1.0,58.5,96.0,95.0,0.1,23121.56635,0.8,0.8,0.873,18.2,78.0
11.0,58.1,96.0,95.0,0.1,2327.4591,0.8,0.8,0.869,18.0,77.6
251.0,24.6,73.0,77.0,1.2,915.2674586,7.2,7.1,0.466,10.3,59.5
251.0,24.1,8.0,8.0,1.3,837.9551,7.4,7.3,0.458,10.0,59.3
251.0,23.5,77.0,75.0,1.4,825.9427854,7.6,7.5,0.454,9.8,59.1
254.0,23.0,77.0,76.0,1.4,757.695974,7.8,7.6,0.451,9.5,58.7
259.0,22.5,8.0,79.0,1.6,793.45243,7.9,7.8,0.448,9.3,58.4
278.0,22.0,77.0,75.0,1.8,82.1513498,8.1,8.0,0.444,9.1,57.6
283.0,21.5,82.0,82.0,2.0,76.535419,8.3,8.2,0.438,8.9,57.1
284.0,21.0,76.0,74.0,2.0,625.8392,8.5,8.4,0.434,8.7,56.8
285.0,2.5,73.0,7.0,2.1,61.799977,8.7,8.6,0.43,8.5,56.5
285.0,2.1,74.0,72.0,2.1,583.493514,8.9,8.8,0.423,8.1,56.1
285.0,19.7,75.0,73.0,2.1,519.2922847,9.1,9.0,0.416,7.7,55.8
283.0,19.2,76.0,75.0,2.1,418.6985763,9.3,9.2,0.407,7.3,55.6
9.0,54.7,87.0,89.0,0.1,535.86555,2.4,2.4,0.735,14.2,77.0
92.0,54.2,87.0,92.0,0.1,4716.673325,2.5,2.5,0.728,13.9,76.8
92.0,53.7,89.0,88.0,0.1,55.156834,2.6,2.5,0.711,13.4,76.9
94.0,53.1,9.0,89.0,0.1,4611.47298,2.6,2.6,0.717,13.3,76.4
97.0,52.6,9.0,9.0,0.1,4697.89732,2.7,2.7,0.716,13.3,76.1
98.0,52.1,92.0,91.0,0.1,575.31664,2.8,2.7,0.71,13.1,76.0
16.0,51.5,95.0,95.0,0.1,418.292176,2.8,2.8,0.703,12.9,75.4
1.0,51.0,91.0,87.0,0.1,344.321698,2.9,2.8,0.697,12.7,75.7
12.0,5.5,95.0,93.0,0.1,2968.41186,2.9,2.9,0.0,12.5,75.0
99.0,49.9,87.0,84.0,0.1,265.642661,3.0,3.0,0.0,12.3,75.5
146.0,54.5,96.0,97.0,0.1,12216.9446,2.8,2.7,0.734,14.2,74.7
148.0,53.6,96.0,95.0,0.1,12291.46685,2.8,2.8,0.73,14.2,74.5
152.0,52.8,98.0,99.0,0.1,13167.47289,2.9,2.8,0.724,14.0,74.1
154.0,52.0,99.0,99.0,0.1,11224.1548,2.9,2.9,0.716,13.8,73.8
157.0,51.1,99.0,99.0,0.1,8553.3847,3.0,2.9,0.714,13.8,73.6
158.0,5.3,99.0,99.0,0.1,8787.61375,3.0,3.0,0.704,13.3,73.4
159.0,49.4,99.0,99.0,0.1,7313.557962,3.1,3.0,0.7,13.5,73.3
161.0,48.6,99.0,99.0,0.1,586.145975,3.1,3.1,0.698,13.8,73.0
163.0,47.8,99.0,99.0,0.1,477.182746,3.2,3.1,0.694,13.8,72.7
17.0,46.9,99.0,99.0,0.1,3623.47667,3.2,3.2,0.695,14.0,72.0
172.0,46.1,99.0,99.0,0.1,359.587582,3.3,3.3,0.699,14.8,71.8
176.0,45.3,99.0,99.0,0.1,2819.649531,3.3,3.3,0.692,14.6,71.4
179.0,44.5,99.0,98.0,0.1,3146.95177,3.4,3.4,0.685,14.3,71.0
183.0,43.7,99.0,98.0,0.1,3739.11936,3.4,3.4,0.677,14.1,75.0
14.0,64.5,95.0,95.0,0.1,7674.86559,1.9,1.9,0.781,14.4,74.1
139.0,63.9,95.0,95.0,0.1,7378.25539,1.9,1.9,0.778,14.3,73.9
144.0,63.3,95.0,95.0,0.1,7813.83499,2.0,2.0,0.775,14.2,73.7
147.0,62.7,94.0,94.0,0.1,6843.263289,2.0,2.0,0.77,13.9,73.4
152.0,62.1,94.0,94.0,0.1,6955.987733,2.0,2.1,0.768,13.8,73.2
155.0,61.5,96.0,95.0,0.1,7296.122479,2.1,2.1,0.761,13.8,72.9
157.0,6.9,95.0,95.0,0.1,5932.899677,2.1,2.2,0.755,13.5,72.6
161.0,6.3,96.0,95.0,0.1,4513.13628,2.2,2.2,0.75,13.5,72.2
16.0,59.7,97.0,96.0,0.1,3893.68998,2.2,2.3,0.745,13.5,72.1
157.0,59.1,94.0,95.0,0.1,3381.57837,2.3,2.3,0.738,13.3,72.2
155.0,58.6,96.0,96.0,0.1,271.46824,2.3,2.4,0.729,12.9,72.0
157.0,58.1,94.0,93.0,0.1,287.534843,2.4,2.4,0.723,12.9,71.8
16.0,57.5,94.0,94.0,0.1,1764.97387,2.4,2.5,0.713,12.9,71.6
163.0,57.0,94.0,93.0,0.1,169.28586,2.5,2.5,0.709,12.9,71.1
27.0,18.2,89.0,88.0,0.7,699.452847,8.4,7.9,0.392,7.5,59.0
271.0,17.7,9.0,9.0,0.8,673.8227,8.6,8.1,0.384,7.2,58.6
275.0,17.1,9.0,91.0,0.9,666.842783,8.8,8.4,0.377,6.7,58.1
279.0,16.6,9.0,91.0,1.0,575.4464527,9.0,8.6,0.365,6.3,57.5
283.0,16.1,91.0,92.0,1.1,552.7455521,9.3,8.8,0.356,5.9,56.9
288.0,15.6,92.0,93.0,1.5,569.7612784,9.5,9.1,0.345,5.4,56.1
293.0,15.1,93.0,89.0,1.7,475.11122,9.8,9.3,0.334,4.9,55.3
32.0,14.6,94.0,86.0,2.0,422.6332374,1.0,9.6,0.325,4.7,54.3
33.0,17.6,96.0,96.0,1.0,282.7555252,7.4,7.4,0.398,10.5,58.6
312.0,17.1,96.0,96.0,1.2,265.285651,7.5,7.5,0.393,10.3,58.0
321.0,16.6,95.0,96.0,1.5,26.479973,7.6,7.6,0.385,9.9,57.4
33.0,16.1,94.0,96.0,1.9,231.1943256,7.7,7.7,0.361,9.3,56.8
338.0,15.7,96.0,94.0,2.4,24.944652,7.8,7.8,0.336,8.6,56.2
35.0,15.2,89.0,92.0,2.9,196.2472628,7.9,7.9,0.319,7.9,55.3
355.0,14.8,93.0,99.0,3.4,17.79995,8.0,8.0,0.309,7.2,54.8
361.0,14.5,88.0,92.0,3.8,165.8794176,8.1,8.2,0.29,5.9,54.1
369.0,14.1,82.0,87.0,4.3,15.57434,8.2,8.3,0.286,5.6,53.4
378.0,13.8,76.0,83.0,4.8,127.4296648,8.4,8.4,0.279,5.2,52.6
183.0,18.2,66.0,83.0,0.2,128.419568,11.0,11.1,0.546,10.8,67.8
186.0,17.6,84.0,86.0,0.3,95.244132,11.0,11.2,0.54,10.7,67.4
19.0,17.0,87.0,88.0,0.3,882.491462,11.0,11.2,0.533,10.7,67.0
192.0,16.4,88.0,89.0,0.5,785.6928841,11.0,11.3,0.519,10.6,66.6
195.0,15.9,95.0,94.0,0.6,738.2326684,11.1,11.4,0.52,10.5,66.1
199.0,15.3,91.0,91.0,0.7,745.7877873,11.2,11.4,0.511,10.5,65.6
24.0,14.8,82.0,82.0,0.9,631.675789,11.3,11.5,0.495,10.3,65.0
216.0,14.3,8.0,8.0,1.1,539.8791529,11.4,11.6,0.483,10.1,64.1
364.0,27.8,88.0,89.0,4.0,1365.34419,5.8,5.8,0.501,10.4,56.4
369.0,27.2,85.0,85.0,4.6,1255.648189,5.9,5.9,0.496,10.4,55.9
371.0,26.6,8.0,82.0,4.9,1295.649726,6.0,6.0,0.486,10.0,55.6
37.0,26.0,83.0,84.0,5.5,1182.869227,6.1,6.2,0.48,9.7,55.3
373.0,25.4,79.0,8.0,6.3,123.19538,6.3,6.3,0.473,9.2,54.8
382.0,24.9,82.0,84.0,6.7,1233.524316,6.4,6.5,0.466,8.8,54.2
395.0,24.4,81.0,82.0,7.0,111.71186,6.6,6.6,0.456,8.0,53.6
394.0,23.8,78.0,81.0,7.2,12.989164,6.7,6.8,0.456,8.2,53.3
4.0,23.3,79.0,8.0,7.4,952.1872484,6.9,7.0,0.456,8.3,52.8
67.0,65.8,91.0,91.0,0.1,52413.72116,0.5,0.5,0.909,15.9,81.8
68.0,65.3,99.0,95.0,0.1,52496.69487,0.5,0.5,0.907,15.9,81.6
68.0,64.7,87.0,87.0,0.1,5282.2176,0.5,0.5,0.903,15.9,81.5
7.0,64.1,88.0,89.0,0.1,47447.4762,0.5,0.4,0.898,15.9,81.2
72.0,63.6,89.0,91.0,0.1,4773.45436,0.5,0.4,0.898,15.9,81.0
74.0,63.0,89.0,92.0,0.1,46596.33599,0.5,0.4,0.897,15.8,87.0
74.0,62.5,9.0,94.0,0.1,44544.5268,0.5,0.4,0.894,15.8,85.0
75.0,61.9,95.0,95.0,0.1,4386.69948,0.5,0.4,0.891,15.8,85.0
76.0,61.3,93.0,93.0,0.1,36189.58838,0.5,0.4,0.886,15.8,81.0
77.0,6.6,91.0,91.0,0.1,31979.87195,0.5,0.4,0.881,15.8,80.0
78.0,6.0,88.0,91.0,0.1,28172.14883,0.5,0.4,0.877,15.8,79.7
451.0,21.6,23.0,23.0,5.1,337.4849614,8.5,8.5,0.37,7.1,49.9
439.0,21.2,47.0,47.0,5.1,486.41114,8.7,8.6,0.366,7.1,53.0
443.0,2.7,47.0,47.0,5.8,494.336779,8.8,8.8,0.361,6.8,49.8
446.0,2.2,46.0,45.0,6.6,446.4434494,9.0,8.9,0.352,6.6,49.2
453.0,19.8,45.0,42.0,7.3,449.961839,9.1,9.1,0.345,6.4,48.6
366.0,18.2,46.0,39.0,3.1,986.13177,8.8,8.7,0.387,7.3,52.2
367.0,17.9,51.0,4.0,3.6,973.472574,9.0,8.9,0.381,7.3,51.8
365.0,17.5,4.0,33.0,3.9,989.2363633,9.2,9.1,0.37,6.7,51.6
364.0,17.1,43.0,39.0,4.1,896.5697341,9.4,9.3,0.36,6.7,51.2
37.0,16.7,32.0,24.0,4.4,84.455939,9.6,9.5,0.343,6.3,57.0
394.0,16.4,3.0,19.0,4.7,929.772391,9.8,9.7,0.338,6.0,49.6
84.0,62.5,9.0,91.0,0.1,15941.39722,0.8,0.8,0.831,15.6,81.0
84.0,61.8,9.0,9.0,0.1,15431.9293,0.8,0.8,0.826,15.5,79.9
86.0,61.2,93.0,94.0,0.1,1475.69242,0.8,0.8,0.82,15.4,79.8
89.0,6.6,92.0,92.0,0.1,1286.17764,0.8,0.9,0.815,15.2,79.1
91.0,59.9,94.0,94.0,0.1,1243.32824,0.8,0.9,0.816,15.3,79.3
88.0,59.3,95.0,95.0,0.1,1781.3668,0.9,0.9,0.804,15.2,79.6
9.0,58.7,95.0,96.0,0.1,1526.87746,0.9,0.9,0.797,14.8,78.9
91.0,58.1,94.0,94.0,0.1,9484.681227,0.9,0.9,0.796,14.9,78.9
145.0,56.4,91.0,91.0,0.1,83.5863,2.1,1.9,0.712,13.3,74.4
143.0,55.7,91.0,91.0,0.1,7884.984429,2.1,1.9,0.707,13.2,74.3
144.0,55.0,85.0,85.0,0.1,7227.73968,2.2,2.0,0.7,13.0,74.2
15.0,54.2,88.0,88.0,0.1,625.65544,2.2,2.0,0.695,12.8,73.6
15.0,53.5,92.0,92.0,0.1,5148.422113,2.2,2.0,0.691,12.4,73.6
146.0,52.8,92.0,92.0,0.1,5433.7245,2.3,2.0,0.683,12.2,73.5
144.0,52.0,93.0,93.0,0.1,4674.21961,2.3,2.1,0.675,11.9,73.5
147.0,51.3,94.0,93.0,0.1,379.78776,2.3,2.1,0.669,11.5,73.1
144.0,5.5,93.0,93.0,0.1,3386.256,2.4,2.1,0.658,11.1,73.1
148.0,49.8,89.0,89.0,0.1,274.249442,2.4,2.2,0.658,11.3,72.8
15.0,49.0,92.0,92.0,0.1,2246.257472,2.5,2.2,0.659,11.6,72.4
163.0,48.2,83.0,81.0,0.1,2355.725857,2.5,2.3,0.656,11.5,71.8
165.0,47.5,83.0,8.0,0.1,2395.856551,2.5,2.3,0.653,11.4,71.5
167.0,46.7,82.0,79.0,0.1,2472.197831,2.6,2.3,0.65,11.3,71.4
96.0,58.5,95.0,95.0,0.1,1569.66631,1.7,1.7,0.762,13.7,79.4
97.0,57.5,9.0,91.0,0.1,9985.36959,1.8,1.7,0.758,13.6,79.2
98.0,56.5,82.0,85.0,0.1,9186.59639,1.8,1.7,0.752,13.4,79.0
16.0,55.5,93.0,88.0,0.1,8199.414621,1.8,1.8,0.749,13.3,78.1
96.0,54.4,8.0,86.0,0.1,689.396224,1.9,1.8,0.747,13.1,79.2
99.0,53.4,89.0,9.0,0.1,6911.136136,1.9,1.8,0.74,12.9,78.9
93.0,52.4,89.0,89.0,0.1,612.623418,1.9,1.9,0.734,12.8,78.9
16.0,51.4,89.0,89.0,0.1,5245.187372,2.0,1.9,0.727,12.6,78.0
97.0,5.3,91.0,91.0,0.1,4697.11135,2.0,2.0,0.723,12.4,78.6
12.0,49.3,9.0,9.0,0.1,4425.57467,2.1,2.0,0.719,12.2,77.7
1.0,48.3,88.0,88.0,0.1,4167.71417,2.2,2.1,0.715,12.1,78.0
99.0,47.3,94.0,94.0,0.1,462.14965,2.2,2.2,0.712,11.9,78.3
1.0,46.4,92.0,91.0,0.1,3981.52847,2.3,2.2,0.708,11.7,77.5
98.0,45.4,8.0,88.0,0.1,388.363689,2.4,2.3,0.702,11.6,77.6
97.0,62.5,96.0,96.0,0.1,13574.749,1.5,1.5,0.817,14.9,77.7
14.0,61.9,96.0,96.0,0.1,13235.97757,1.5,1.5,0.815,14.6,77.1
14.0,61.3,96.0,96.0,0.1,14539.18421,1.6,1.5,0.808,14.5,77.0
16.0,6.6,97.0,97.0,0.1,1355.74586,1.6,1.6,0.803,14.2,76.6
19.0,6.0,96.0,96.0,0.1,14157.14416,1.7,1.6,0.803,14.2,76.3
116.0,59.4,96.0,96.0,0.1,15893.8656,1.7,1.7,0.8,14.3,76.0
114.0,58.7,96.0,96.0,0.1,13546.69872,1.8,1.7,0.793,14.3,75.8
157.0,56.8,82.0,83.0,0.3,627.55544,3.3,3.2,0.709,13.2,73.4
174.0,55.8,85.0,85.0,0.4,5968.876767,3.3,3.2,0.706,13.1,72.1
16.0,54.7,84.0,84.0,0.7,5759.643,3.3,3.2,0.703,13.0,73.1
166.0,53.6,85.0,88.0,0.9,5451.6696,3.3,3.3,0.697,12.9,72.7
